,Appellation,Robert,Robinson,Suckling,Prix
1726,Margaux,92.0,15.5,93.0,42.00
1727,Saint-Emilion,,17,97.5,129.00
1728,Saint-Estèphe,91.0,16,92.0,31.00
1729,Sauternes,,17,96.0,425.00
1730,Pomerol,94.0,16.5,94.0,95.00
1731,Saint-Estèphe,92.0,16.5,93.5,40.00
1732,Saint-Emilion,,18,,332.00
1733,Saint-Emilion,92.0,16.5,,268.00
1734,Saint-Emilion,,15,94.0,175.00
1735,Haut-Médoc,,16,91.0,18.17
1736,Saint-Julien,95.0,17.5,97.0,290.00
1737,Pessac-Léognan,98.0,18,98.0,345.00
1738,Saint-Emilion,91.0,,90.5,61.00
1739,Saint-Emilion,87.0,,93.5,180.83
1740,Sauternes,95.0,17,100.0,410.00
1741,Saint-Estèphe,88.0,15,89.0,26.00
1742,Saint-Emilion,92.0,16.5,95.5,175.00
1743,Pomerol,99.0,17,100.0,445.00
1744,Saint-Julien,91.0,16.5,95.0,105.00
1745,Pomerol,100.0,16.5,99.0,310.00
1746,Margaux,88.5,16,92.5,48.00
1747,Saint-Julien,93.0,16.5,,660.00
1748,Pauillac,90.0,16.5,,31.08
1749,Pessac-Léognan,91.0,16.5,96.5,436.67
1750,Saint-Emilion,88.0,15.5,90.0,42.00
1751,Saint-Estèphe,90.0,17,91.0,90.00
1752,Pessac-Léognan,95.0,16,95.0,222.50
1753,Saint-Emilion,92.0,14.5,,98.83
1754,Pauillac,90.0,16.5,91.0,114.29
1755,Pomerol,91.0,16.5,93.0,86.00
1756,Saint-Emilion,,16.5,94.0,87.00
1757,Saint-Emilion,,15,93.5,37.50
1758,Pauillac,87.0,17.5,,167.00
1759,Saint-Emilion,85.0,17,88.5,27.50
1760,Saint-Julien,98.0,18,100.0,445.00
1761,Pauillac,90.0,,,185.00
1762,Saint-Emilion,,17.5,,553.00
1763,Pessac-Léognan,97.0,17,98.0,320.00
1764,Sauternes,95.0,18,92.0,59.00
1765,Médoc,90.0,16.5,92.0,36.42
1766,Pauillac,87.0,,,29.50
1767,Margaux,89.0,14.5,92.0,44.17
1768,Margaux,89.0,,92.0,53.33
1769,Pessac-Léognan,94.0,16,95.0,230.00
1770,Pomerol,93.0,16,96.0,87.00
1771,Pomerol,88.0,16.5,92.0,44.00
1772,Saint-Julien,88.0,16.5,,56.00
1773,Saint-Estèphe,100.0,18,99.0,265.00
1774,Pauillac,91.0,16,91.5,95.00
1775,Saint-Emilion,92.0,15,92.0,40.00
1776,Margaux,90.0,16,93.0,99.00
1777,Saint-Emilion,88.0,16.5,,1047.00
1778,Saint-Julien,,,92.0,31.00
1779,Sauternes,92.0,19,,140.00
1780,Pomerol,,,95.5,95.00
1781,Saint-Emilion,95.0,15,99.0,122.00
1782,Pomerol,,,88.5,116.67
1783,Saint-Emilion,92.0,,95.0,785.00
1784,Barsac,94.0,17,,58.17
1785,Sauternes,98.0,18,100.0,395.00
1786,Saint-Emilion,89.0,15.5,94.0,49.10
1787,Pomerol,93.0,16,97.0,149.00
1788,Saint-Julien,94.0,16,95.0,75.00
1789,Saint-Emilion,,16,,109.17
1790,Saint-Emilion,98.0,16.5,93.5,286.00
1791,Saint-Estèphe,88.0,,93.0,52.00
1792,Saint-Julien,92.0,16.5,91.5,66.00
1793,Saint-Estèphe,90.0,16,90.5,40.00
1794,Saint-Emilion,96.0,17,98.0,150.00
1795,Castillon Côtes de Bordeaux,92.0,,92.5,28.00
1796,Pauillac,99.0,18.5,100.0,1250.00
1797,Saint-Estèphe,90.0,16,91.0,58.00
1798,Saint-Julien,91.0,17.5,93.0,101.00
1799,Pauillac,98.0,17,99.0,950.00
1800,Sauternes,94.0,17,95.0,41.00
1801,Pomerol,86.0,15,91.0,65.00
1802,Saint-Emilion,92.0,16,95.0,49.00
1803,Pomerol,97.0,18,100.0,420.00
1804,Haut-Médoc,89.0,16.5,92.0,33.00
1805,Saint-Julien,96.0,,,535.00
1806,Saint-Estèphe,92.0,16.5,93.5,35.00
1807,Sauternes,,18,,430.00
1808,Pomerol,90.0,15.5,91.0,34.00
1809,Saint-Emilion,90.0,,,555.00
1810,Margaux,93.0,16.5,96.0,253.00
1811,Sauternes,91.0,,93.0,26.00
1812,Pauillac,91.0,16.5,92.0,86.00
1813,Saint-Emilion,92.0,16,94.5,28.00
1814,Bordeaux Blancs Secs,,17,98.0,295.00
1815,Saint-Emilion,,,91.5,105.00
1816,Pomerol,93.0,,95.0,85.00
1817,Margaux,87.0,15.5,,600.00
1818,Pomerol,95.0,15.5,98.0,160.17
1819,Margaux,,16.5,,119.00
1820,Margaux,90.0,15.5,88.0,28.08
1821,Haut-Médoc,,,,19.50
1822,Sauternes,94.0,17.5,93.0,57.17
1823,Saint-Estèphe,92.0,16.5,94.0,39.00
1824,Sauternes,93.0,17,96.0,385.00
1825,Saint-Julien,98.0,18,,535.00
1826,Saint-Emilion,90.0,,,555.00
1827,Margaux,90.0,17,,1590.00
1828,Margaux,,16,,695.00
1829,Castillon Côtes de Bordeaux,,,91.5,17.40
1830,Saint-Julien,96.0,17.5,95.0,123.60
1831,Saint-Julien,90.0,18,94.0,62.33
1832,Pessac-Léognan,96.0,17.5,98.5,455.50
1833,Pauillac,93.0,16,95.0,128.33
1834,Saint-Emilion,89.0,16,93.0,32.00
1835,Pomerol,87.0,,,49.00
1836,Saint-Emilion,94.0,16,92.0,54.00
1837,Saint-Emilion,94.0,17.5,,655.00
1838,Saint-Emilion,90.0,,93.5,34.30
1839,Saint-Emilion,89.0,15.5,93.0,55.50
1840,Saint-Estèphe,96.0,18,95.0,470.00
1841,Pessac-Léognan,96.0,18,,665.00
1842,Saint-Emilion,100.0,18,98.0,1250.00
1843,Pauillac,86.0,16.5,93.5,160.83
1844,Sauternes,95.0,18,93.0,59.00
1845,Haut-Médoc,90.0,,,12.00
1846,Saint-Julien,87.0,15.5,93.5,211.67
1847,Saint-Emilion,,16.5,,730.00
1848,Pomerol,90.0,16.5,91.0,33.00
1849,Margaux,97.0,17,,1580.00
1850,Pomerol,90.0,16.5,93.0,105.00
1851,Saint-Estèphe,93.0,17,96.0,191.70
1852,Margaux,74.0,,,765.00
1853,Pessac-Léognan,90.0,16-,92.0,48.70
1854,Saint-Emilion,92.0,16,94.0,115.00
1855,Saint-Emilion,90.0,15.5,96.0,150.00
1856,Pomerol,90.0,16,91.0,148.00
1857,Pauillac,85.0,,,310.00
1858,Francs Côtes de Bordeaux,92.0,,95.0,22.50
1859,Montagne-Saint-Emilion,,,92.0,22.83
1860,Pauillac,87.0,17,92.0,57.80
1861,Saint-Emilion,94.0,16.5,91.0,42.50
1862,Margaux,98.0,18.5,98.0,460.00
1863,Saint-Emilion,98.0,18,98.0,1080.00
1864,Margaux,94.0,16.5,96.0,93.58
1865,Pomerol,,17,96.5,101.00
1866,Pomerol,97.0,16,95.0,210.00
1867,Margaux,91.0,16,94.5,416.67
1868,Haut-Médoc,91.0,16,94.0,36.50
1869,Pauillac,,,,50.00
1870,Saint-Estèphe,,15,91.0,23.00
1871,Pauillac,95.0,17,98.0,1030.00
1872,Lalande de Pomerol,,,,142.50
1873,Pessac-Léognan,94.0,16.5,96.5,1008.33
1874,Saint-Emilion,94.0,17.5,,499.00
1875,Saint-Julien,94.0,17.5,96.0,420.00
1876,Saint-Estèphe,90.0,16.5,90.0,225.00
1877,Pauillac,96.0,17.5,,440.00
1878,Pomerol,88.0,17.5,95.0,43.00
1879,Margaux,,,92.0,50.00
1880,Margaux,93.0,16,95.0,236.00
1881,Saint-Estèphe,92.0,15.5,,580.00
1882,Pomerol,,,94.5,59.33
1883,Saint-Estèphe,94.0,15.5,93.0,99.00
1884,Saint-Julien,,17,,87.33
1885,Pomerol,,16.5,94.5,61.17
1886,Pauillac,87.0,16.5,92.0,53.40
1887,Margaux,94.0,18,,950.00
1888,Haut-Médoc,90.0,16,91.0,62.00
1889,Bordeaux Blancs Secs,88.0,,,61.00
1890,Saint-Emilion,90.5,16,93.5,356.67
1891,Puisseguin-Saint-Emilion,87.0,,90.0,27.30
1892,Pauillac,,,,35.33
1893,Pomerol,,,91.0,155.00
1894,Saint-Emilion,,15.5,,127.50
1895,Pomerol,87.0,,92.0,38.20
1896,Saint-Emilion,91.0,17,93.0,52.00
1897,Pauillac,90.0,15,91.5,41.00
1898,Saint-Emilion,93.0,16,,149.00
1899,Pauillac,93.0,17,95.0,365.00
1900,Margaux,87.75,,,1495.00
1901,Saint-Emilion,92.0,,90.5,48.00
1902,Pauillac,88.0,14.5,93.0,85.00
1903,Fronsac,,,90.5,101.67
1904,Castillon Côtes de Bordeaux,,16,,119.67
1905,Pomerol,88.0,15,93.0,79.00
1906,Pessac-Léognan,91.0,16,94.5,588.33
1907,Sauternes,91.0,16.5,,365.00
1908,Saint-Emilion,,15,98.5,445.00
1909,Pomerol,,,95.0,140.00
1910,Pauillac,,15.5,97.0,52.00
1911,Pessac-Léognan,89.0,16.5,91.0,25.00
1912,Margaux,88.0,16,93.5,165.00
1913,Fronsac,,,93.5,24.50
1914,Saint-Emilion,93.0,15,93.0,99.00
1915,Sauternes,,15,,110.00
1916,Saint-Julien,91.0,16.5,92.0,130.00
1917,Saint-Estèphe,95.0,18,94.0,230.00
1918,Saint-Emilion,90.0,,94.0,31.50
1919,Saint-Estèphe,94.0,17,94.0,245.00
1920,Saint-Julien,93.0,16.5,95.0,505.00
1921,Fronsac,86.0,16.5,,24.00
1922,Saint-Emilion,91.0,17,92.5,31.17
1923,Pauillac,,16,91.5,142.50
1924,Margaux,89.0,16,94.0,124.00
1925,Saint-Estèphe,92.0,16.5,94.0,39.50
1926,Pomerol,,16,96.0,75.90
1927,Saint-Emilion,92.0,16.5,94.0,49.00
1928,Saint-Estèphe,94.0,17,92.0,230.00
1929,Pessac-Léognan,,16.5,93.5,403.33
1930,Saint-Emilion,97.0,17,92.0,710.00
1931,Pauillac,95.0,16,98.0,110.00
1932,Pomerol,87.0,17,96.0,120.00
1933,Saint-Julien,92.0,15.5,94.0,64.50
1934,Pauillac,80.0,,,150.00
1935,Saint-Emilion,90.0,16,93.5,285.83
1936,Pomerol,90.0,16.5,93.0,86.00
1937,Médoc,,15.5,92.5,24.50
1938,Sauternes,,,,209.00
1939,Saint-Emilion,90.0,,96.0,160.00
1940,Pomerol,91.0,16,93.0,79.50
1941,Pauillac,,,92.5,20.50
1942,Pomerol,,16.5,94.0,53.00
1943,Pomerol,95.0,17,98.0,360.00
1944,Saint-Julien,94.0,17,96.0,1570.00
1945,Margaux,91.0,16,89.0,61.20
1946,Sauternes,91.0,15.5,92.0,32.17
1947,Pauillac,89.0,,,242.00
1948,Saint-Emilion,95.0,15,96.0,128.00
1949,Saint-Julien,95.0,16.5,97.0,510.00
1950,Pessac-Léognan,93.0,17,94.0,75.00
1951,Puisseguin-Saint-Emilion,92.0,15,92.0,45.80
1952,Sauternes,,17,,172.50
1953,Margaux,88.0,16.5,93.0,38.58
1954,Castillon Côtes de Bordeaux,92.0,,91.0,20.25
1955,Saint-Emilion,94.0,17,96.0,203.00
1956,Haut-Médoc,,,89.0,24.00
1957,Saint-Emilion,91.0,,97.0,135.00
1958,Haut-Médoc,,,,16.40
1959,Pauillac,96.0,17.5,97.0,773.33
1960,Pomerol,91.0,16,92.0,76.00
1961,Pauillac,90.0,17.5,93.0,77.00
1962,Saint-Emilion,,17.5,99.5,340.67
1963,Saint-Emilion,,,89.5,37.10
1964,Pomerol,90.0,15.5,,125.00
1965,Margaux,96.0,16.5,95.5,358.67
1966,Listrac,90.0,16.5,93.0,24.50
1967,Castillon Côtes de Bordeaux,,,90.0,16.58
1968,Pomerol,,,92.5,27.58
1969,Pomerol,90.0,16.5,96.5,130.00
1970,Pomerol,90.0,16.5,94.0,79.00
1971,Pessac-Léognan,92.0,16,95.5,139.00
1972,Saint-Julien,89.0,16,92.5,123.33
1973,Saint-Emilion,,,93.5,184.17
1974,Sauternes,93.0,,,62.10
1975,Margaux,81.0,15,,110.17
1976,Haut-Médoc,86.0,15,,695.00
1977,Pauillac,90.0,14.5,92.5,60.00
1978,Saint-Julien,89.0,15.5,92.0,72.00
1979,Saint-Emilion,92.0,16.5,95.0,57.10
1980,Saint-Julien,89.0,15.5,93.0,118.30
1981,Pomerol,85.0,15,,69.00
1982,Saint-Emilion,96.0,16.5,95.0,285.00
1983,Pessac-Léognan,88.0,16.5,92.0,36.00
1984,Saint-Julien,89.0,16,,150.00
1985,Saint-Estèphe,,,91.5,18.00
1986,Sauternes,,17.5,,414.17
1987,Saint-Emilion,100.0,17.5,97.0,820.00
1988,Pauillac,86.0,,,210.00
1989,Saint-Estèphe,89.0,15.5,92.0,30.17
1990,Saint-Emilion,92.0,14.5,95.0,108.00
1991,Saint-Emilion,97.0,16.5,96.0,300.00
1992,Saint-Emilion,94.0,16.5,97.0,299.00
1993,Pessac-Léognan,,15,89.5,18.83
1994,Pessac-Léognan,87.0,16.5,90.0,35.00
1995,Saint-Emilion,95.0,18,94.0,234.00
1996,Barsac,,,,124.83
1997,Pomerol,88.0,14.5,,77.00
1998,Pessac-Léognan,,,,95.00
1999,Pomerol,95.0,16,95.0,69.33
2000,Saint-Estèphe,90.0,15.5,91.5,27.00
2001,Pessac-Léognan,92.0,16,94.0,173.33
2002,Pauillac,93.0,15.5,95.0,67.67
2003,Vin de France,89.0,,93.0,26.83
2004,Saint-Julien,92.0,17,,111.00
2005,Pauillac,84.0,,,250.00
2006,Pomerol,,16,95.5,420.00
2007,Saint-Julien,88.0,16,,140.00
2008,Pauillac,99.0,18.5,100.0,1159.67
2009,Saint-Emilion,97.0,17,,125.00
2010,Saint-Emilion,95.0,17.5,97.0,170.50
2011,Sauternes,,17,,277.50
2012,Saint-Julien,97.0,17.5,95.0,435.00
2013,Saint-Emilion,,17,95.5,965.83
2014,Listrac,90.0,16,92.0,41.67
2015,Haut-Médoc,88.5,16,90.5,18.00
2016,Pauillac,95.0,19,98.0,1375.00
2017,Margaux,90.0,16.5,94.5,225.83
2018,Pessac-Léognan,91.0,16,93.5,88.00
2019,Castillon Côtes de Bordeaux,93.0,15.5,92.5,45.00
2020,Saint-Estèphe,88.0,17,94.0,126.00
2021,Pauillac,91.0,16.5,96.0,5852.00
2022,Saint-Emilion,,15,93.5,185.00
2023,Saint-Emilion,98.0,18,,953.00
2024,Saint-Emilion,94.0,16,94.0,40.00
2025,Pessac-Léognan,88.0,,93.5,103.33
2026,Pomerol,98.0,16.5,99.0,320.00
2027,Haut-Médoc,91.0,16,91.0,45.00
2028,Haut-Médoc,,,89.5,108.33
2029,Saint-Emilion,92.0,15.5,97.0,52.00
2030,Margaux,87.0,17,92.0,199.00
2031,Saint-Emilion,88.5,,93.0,40.90
2032,Pessac-Léognan,,15,91.5,136.67
2033,Fronsac,87.0,,90.0,20.00
2034,Margaux,88.0,,91.5,37.00
2035,Pomerol,93.0,15.5,93.5,69.00
2036,Sauternes,,17.5,94.5,86.17
2037,Pauillac,97.0,19,100.0,1490.00
2038,Saint-Julien,,,90.5,32.70
2039,Pomerol,91.0,16,92.0,75.00
2040,Vin de France,90.0,,92.0,31.67
2041,Lalande de Pomerol,92.0,16.5,94.0,99.00
2042,Saint-Julien,95.0,16,95.0,388.00
2043,Barsac,89.0,17.5,,47.10
2044,Saint-Emilion,92.5,16,93.5,43.67
2045,Bordeaux Blancs Secs,92.0,17,97.0,299.00
2046,Saint-Emilion,94.0,16,,410.00
2047,Margaux,,16,93.5,42.50
2048,Saint-Estèphe,86.0,15.5,87.5,71.67
2049,Pauillac,85.0,16.5,93.0,41.40
2050,Pessac-Léognan,91.0,16,94.0,41.40
2051,Saint-Emilion,89.0,14,90.0,25.00
2052,Lalande de Pomerol,89.0,,92.5,79.83
2053,Barsac,,17,,207.50
2054,Sauternes,,17,,143.33
2055,Pessac-Léognan,89.0,,93.5,20.83
2056,Saint-Julien,88.0,,,150.00
2057,Saint-Emilion,,15.5,93.0,34.00
2058,Saint-Julien,93.0,17,94.0,710.00
2059,Pessac-Léognan,85.0,14.5,92.0,79.00
2060,Pomerol,,16,93.5,251.67
2061,Saint-Emilion,93.0,16.5,,535.00
2062,Saint-Estèphe,88.0,17.5,90.0,690.00
2063,Haut-Médoc,85.0,16,90.5,35.00
2064,Margaux,92.0,15.5,94.5,172.00
2065,Haut-Médoc,88.0,16,92.0,27.00
2066,Pessac-Léognan,,,,13.83
2067,Saint-Estèphe,88.0,18.5,94.0,615.00
2068,Pessac-Léognan,94.0,17.5,96.0,660.00
2069,Saint-Emilion,92.0,17,97.5,373.00
2070,Saint-Emilion,,15,,109.17
2071,Saint-Emilion,91.0,15,93.0,44.70
2072,Pomerol,90.0,,93.0,45.00
2073,Sauternes,95.0,16.5,93.0,60.00
2074,Saint-Julien,91.0,16,91.0,230.00
2075,Saint-Julien,94.0,16.5,95.0,295.00
2076,Pauillac,88.0,16,95.5,98.00
2077,Sauternes,90.0,16.5,90.0,42.00
2078,Francs Côtes de Bordeaux,89.5,,92.5,114.17
2079,Pomerol,89.0,,92.5,125.83
2080,Saint-Emilion,93.0,16-,93.0,147.67
2081,Saint-Emilion,91.0,14,92.0,33.80
2082,Pauillac,,,,58.33
2083,Sauternes,,,92.0,31.00
2084,Bordeaux,,,92.0,25.17
2085,Saint-Emilion,,16,92.5,172.50
2086,Margaux,96.0,18,98.0,426.33
2087,Saint-Emilion,94.0,16,93.0,54.50
2088,Pauillac,100.0,17,100.0,1360.00
2089,Saint-Julien,94.0,17.5,,310.00
2090,Margaux,,,,86.67
2091,Pauillac,92.0,18,94.0,680.00
2092,Sauternes,91.0,17,95.0,60.00
2093,Margaux,94.0,17,94.0,112.90
2094,Sauternes,93.0,15,96.0,52.67
2095,Barsac,88.0,16,,60.00
2096,Pessac-Léognan,,,92.0,19.30
2097,Pessac-Léognan,98.0,17.5,95.5,240.00
2098,Sauternes,,,,31.60
2099,Saint-Emilion,97.0,16,98.0,257.33
2100,Margaux,90.0,16,94.5,218.33
2101,Saint-Emilion,92.0,16,91.5,168.33
2102,Margaux,88.0,17.5,,350.00
2103,Montagne-Saint-Emilion,,,91.0,14.20
2104,Saint-Julien,90.0,,,107.00
2105,Saint-Julien,89.0,16,91.5,36.20
2106,Saint-Estèphe,93.0,16,94.0,455.00
2107,Saint-Emilion,93.0,,,91.50
2108,Pessac-Léognan,92.0,15.5,94.0,50.00
2109,Saint-Julien,89.0,16,92.0,39.00
2110,Saint-Emilion,94.0,16,93.0,40.00
2111,Saint-Emilion,87.0,14,95.0,51.17
2112,Pauillac,91.5,16,93.5,319.17
2113,Margaux,93.0,,,2750.00
2114,Vin de France,,,93.0,32.30
2115,Pauillac,89.0,,,37.00
2116,Sauternes,93.0,17.5,98.0,405.00
2117,Pomerol,90.0,,93.5,38.17
2118,Pauillac,92.0,17,95.5,229.00
2119,Margaux,93.0,,93.0,925.00
2120,Pessac-Léognan,96.0,17.5,,394.83
2121,Saint-Emilion,92.0,,95.5,48.00
2122,Pauillac,98.0,18.5,100.0,2295.00
2123,Margaux,98.0,17.5,97.0,165.00
2124,Margaux,90.0,16,94.0,134.00
2125,Bordeaux Blancs Secs,90.5,,94.5,45.80
2126,Saint-Emilion,,16,92.5,134.17
2127,Pauillac,94.0,,97.0,49.92
2128,Margaux,88.0,14,92.0,56.70
2129,Sauternes,,,,130.00
2130,Pauillac,96.0,18,100.0,725.00
2131,Saint-Estèphe,,,,21.30
2132,Saint-Julien,88.0,16,91.0,91.67
2133,Saint-Julien,91.0,16,93.0,95.00
2134,Pomerol,88.0,,93.0,98.00
2135,Pessac-Léognan,94.5,16.5,97.5,455.83
2136,Sauternes,93.0,16.5,94.0,57.00
2137,Saint-Julien,93.0,16,94.0,1390.00
2138,Pauillac,96.0,18,97.0,850.00
2139,Saint-Emilion,,,94.5,160.00
2140,Pessac-Léognan,96.0,17,92.0,175.00
2141,Pessac-Léognan,91.0,16,96.0,120.00
2142,Saint-Emilion,90.0,15.5,94.0,38.00
2143,Saint-Emilion,,,92.5,34.00
2144,Pessac-Léognan,96.0,17.5,97.0,228.83
2145,Barsac,95.0,,,56.17
2146,Pauillac,92.0,16,92.5,260.00
2147,Castillon Côtes de Bordeaux,,,90.0,14.00
2148,Saint-Emilion,,16,97.5,140.80
2149,Saint-Julien,89.0,16.5,,92.00
2150,Saint-Emilion,,16,95.0,44.00
2151,Margaux,94.0,16,94.0,171.60
2152,Haut-Médoc,,,92.0,19.60
2153,Pomerol,91.0,16.5,94.0,344.67
2154,Pessac-Léognan,100.0,16.5,99.0,290.00
2155,Puisseguin-Saint-Emilion,90.0,,92.0,65.80
2156,Saint-Emilion,89.5,16,92.0,49.00
2157,Saint-Julien,97.0,17.5,98.0,110.00
2158,Saint-Estèphe,95.0,17,98.0,253.30
2159,Saint-Emilion,95.0,16.5,94.0,415.00
2160,Saint-Julien,95.0,17.5,96.0,115.00
2161,Pauillac,91.0,17.5,92.0,125.00
2162,Sauternes,,,,45.80
2163,Saint-Emilion,,,88.5,36.00
2164,Saint-Estèphe,88.0,16.5,87.5,27.17
2165,Saint-Emilion,,16.5,93.5,36.17
2166,Margaux,89.5,16.5,92.0,45.00
2167,Saint-Julien,91.0,16,90.5,64.30
2168,Sauternes,89.0,17,,49.10
2169,Saint-Emilion,91.0,16,92.5,211.67
2170,Saint-Emilion,90.0,15.5,92.0,67.50
2171,Saint-Estèphe,,,92.5,25.40
2172,Graves,90.0,16.5,93.0,27.70
2173,Margaux,93.0,17,97.0,910.00
2174,Sauternes,,,,190.00
2175,Saint-Julien,94.0,,94.0,305.00
2176,Saint-Julien,88.0,16.5,92.5,139.00
2177,Pauillac,93.0,17.5,98.0,280.00
2178,Saint-Julien,95.0,17,94.0,3700.00
2179,Pauillac,90.0,15.5,92.5,43.60
2180,Pauillac,,,,365.00
2181,Saint-Estèphe,,,,80.00
2182,Sauternes,,17.5,,261.00
2183,Saint-Julien,92.0,16.5,91.5,129.00
2184,Pessac-Léognan,100.0,19,100.0,1230.83
2185,Saint-Emilion,94.0,16,95.0,60.00
2186,Moulis,90.0,17,92.0,86.10
2187,Médoc,80.5,,,165.00
2188,Haut-Médoc,85.0,,92.0,12.83
2189,Saint-Emilion,93.0,16,95.0,105.00
2190,Pomerol,96.0,16.5,96.0,377.00
2191,Saint-Julien,89.0,16.5,93.0,133.00
2192,Pauillac,94.0,16,95.0,101.00
2193,Saint-Emilion,90.0,,92.0,37.50
2194,Médoc,86.0,16.5,91.0,19.80
2195,Margaux,96.0,16,98.0,985.00
2196,Sauternes,98.0,,,385.00
2197,Saint-Julien,92.0,16,93.0,69.00
2198,Saint-Emilion,96.0,15.5,96.0,209.00
2199,Saint-Emilion,89.0,15,92.5,24.42
2200,Sauternes,91.0,18,92.0,52.30
2201,Moulis,82.0,16.5,94.0,112.67
2202,Margaux,95.0,16.5,98.0,80.00
2203,Margaux,92.0,16.5,,191.00
2204,Haut-Médoc,90.5,,92.0,31.60
2205,Saint-Emilion,,15.5,92.0,41.00
2206,Sauternes,90.0,17.5,,47.60
2207,Sauternes,93.0,17,93.0,187.00
2208,Moulis,88.5,16.5,,198.00
2209,Haut-Médoc,87.0,16.5,92.0,35.40
2210,Pauillac,91.0,16,93.5,245.00
2211,Pomerol,94.0,16.5,98.0,138.00
2212,Sauternes,92.0,16.5,,35.50
2213,Saint-Emilion,94.0,16.5,97.0,159.80
2214,Saint-Emilion,,,90.5,117.50
2215,Haut-Médoc,,15.5,92.5,15.75
2216,Margaux,92.0,16.5,94.0,65.42
2217,Pauillac,91.0,17,96.0,1567.00
2218,Saint-Emilion,95.0,15,95.0,126.83
2219,Pomerol,94.0,17,96.5,265.00
2220,Margaux,89.0,16-,,97.00
2221,Saint-Julien,96.0,16.5,96.0,880.00
2222,Saint-Emilion,89.0,15.5,,44.70
2223,Pauillac,92.0,18,94.0,850.00
2224,Saint-Emilion,,,92.5,28.00
2225,Saint-Emilion,,16,94.5,55.20
2226,Bordeaux Blancs Secs,,,,10.20
2227,Margaux,90.0,,93.5,29.90
2228,Saint-Julien,89.0,16.5,,310.00
2229,Canon-Fronsac,,,93.0,20.70
2230,Sauternes,,17,93.0,35.00
2231,Saint-Emilion,93.0,16.5,,185.00
2232,Médoc,,,92.5,15.60
2233,Pauillac,91.0,17.5,95.0,999.00
2234,Pessac-Léognan,91.0,,93.0,25.00
2235,Margaux,98.0,15,100.0,720.00
2236,Sauternes,93.0,15.5,92.0,49.00
2237,Saint-Emilion,,,97.5,39.40
2238,Saint-Emilion,,,92.5,48.00
2239,Pomerol,90.0,15.5,94.0,118.30
2240,Haut-Médoc,,15.5,92.5,32.70
2241,Pauillac,91.0,16,94.0,48.00
2242,Saint-Emilion,95.0,16.5,98.0,560.00
2243,Médoc,89.0,15.5,92.5,101.67
2244,Pomerol,84.0,16-,,34.00
2245,Barsac,,16.5,,59.00
2246,Saint-Emilion,91.0,16.5,,270.00
2247,Pauillac,93.0,14.5,93.5,420.00
2248,Margaux,90.0,17.5,93.0,465.00
2249,Haut-Médoc,86.0,15,,16.40
2250,Saint-Emilion,100.0,18,94.0,1220.00
2251,Pauillac,92.5,17,96.5,2015.83
2252,Haut-Médoc,92.0,16.5,90.0,51.00
2253,Pauillac,87.0,13.5,91.0,38.20
2254,Sauternes,,,,84.00
2255,Haut-Médoc,,,,133.00
2256,Pauillac,94.0,17,,1090.00
2257,Pauillac,89.0,16.5,,195.00
2258,Margaux,91.0,17,95.0,665.00
2259,Pessac-Léognan,,16,91.5,130.00
2260,Barsac,91.0,16.5,93.0,63.00
2261,Pomerol,97.0,19,97.0,903.33
2262,Bordeaux Blancs Secs,93.5,17,,350.00
2263,Saint-Emilion,94.0,17,95.5,106.40
2264,Pomerol,,,,324.00
2265,Pomerol,92.0,16.5,,90.00
2266,Castillon Côtes de Bordeaux,,16,92.5,21.83
2267,Margaux,86.0,16.5,93.5,30.67
2268,Pauillac,90.0,16,93.5,840.00
2269,Margaux,97.0,17.5,96.0,115.00
2270,Saint-Emilion,92.0,17.5,,7950.00
2271,Margaux,90.0,17.5,89.5,1275.00
2272,Margaux,,,,33.17
2273,Haut-Médoc,89.0,,92.0,22.70
2274,Montagne-Saint-Emilion,,,90.5,95.83
2275,Fronsac,90.0,,89.5,15.30
2276,Pauillac,91.0,15.5,94.5,1390.00
2277,Pomerol,,,94.0,35.92
2278,Bordeaux Blancs Secs,90.0,,,198.33
2279,Margaux,91.0,17,92.0,160.60
2280,Saint-Estèphe,90.0,15,90.5,86.67
2281,Pauillac,92.0,16,95.0,185.00
2282,Pauillac,89.0,18,,470.00
2283,Sauternes,95.0,19,,390.00
2284,Margaux,96.0,17.5,94.0,660.00
2285,Saint-Emilion,,16.5,91.5,144.17
2286,Sauternes,,17.5,,238.33
2287,Pomerol,,,94.5,218.00
2288,Bordeaux Blancs Secs,,16,,60.00
2289,Pessac-Léognan,93.0,,94.0,31.00
2290,Sauternes,94.0,16.5,96.0,140.00
2291,Margaux,92.0,15.5,94.0,114.33
2292,Haut-Médoc,87.0,15.5,,119.17
2293,Pomerol,94.0,17,100.0,435.00
2294,Saint-Emilion,95.0,16.5,96.5,202.00
2295,Barsac,,17.5,93.5,44.00
2296,Sauternes,93.0,17,95.0,71.83
2297,Saint-Julien,92.0,16.5,95.0,1720.00
2298,Saint-Emilion,96.0,17,99.0,231.00
2299,Barsac,95.0,17.5,96.0,176.80
2300,Saint-Emilion,,18,97.0,182.33
2301,Margaux,87.0,16,,125.00
2302,Pessac-Léognan,100.0,18,100.0,1265.00
2303,Pomerol,92.0,,97.0,340.00
2304,Saint-Emilion,97.0,18.5,99.0,4550.00
2305,Sauternes,,17,91.5,54.00
2306,Pessac-Léognan,91.0,,93.0,26.00
2307,Saint-Estèphe,91.0,16,93.0,125.00
2308,Saint-Emilion,,16,92.5,53.42
