,Appellation,Robert,Robinson,Suckling,Prix
309,Haut-Médoc,92.0,15.5,94.0,32.00
310,Margaux,94.0,16.5,95.0,116.00
311,Haut-Médoc,89.0,15.5,94.0,38.00
312,Pauillac,96.0,18.5,96.0,271.00
313,Haut-Médoc,90.0,16,92.0,29.67
314,Pessac-Léognan,93.0,16.5,95.0,50.50
315,Castillon Côtes de Bordeaux,89.0,14.5,91.0,21.00
316,Bordeaux,90.0,,92.5,9.33
317,Pessac-Léognan,92.0,16.5,96.0,74.00
318,Pessac-Léognan,90.0,16,95.0,28.67
319,Saint-Estèphe,89.0,16,92.0,21.00
320,Saint-Emilion,93.0,15,93.0,48.00
321,Pauillac,99.0,17.5,98.0,1150.00
322,Pomerol,92.0,16.5,96.0,53.00
323,Saint-Emilion,,,92.0,21.50
324,Saint-Julien,92.0,15.5,96.0,119.17
325,Saint-Julien,90.0,,,22.00
326,Saint-Emilion,93.0,16,94.0,36.42
327,Pauillac,85.0,14.5,93.0,36.00
328,Saint-Estèphe,,,92.0,17.50
329,Pessac-Léognan,94.0,16,98.0,103.00
330,Saint-Emilion,93.0,15.5,93.5,52.00
331,Saint-Emilion,93.0,16,93.0,52.00
332,Saint-Emilion,89.0,16,92.0,63.00
333,Pessac-Léognan,89.0,14,90.5,31.00
334,Castillon Côtes de Bordeaux,92.0,16.5,93.0,30.00
335,Barsac,95.0,16.5,95.0,46.67
336,Pauillac,90.0,15.5,94.0,37.00
337,Saint-Estèphe,87.0,14.5,93.0,28.50
338,Pomerol,90.0,14.5,95.0,45.00
339,Saint-Julien,,16.5,92.0,26.50
340,Saint-Estèphe,87.0,16,92.0,33.00
341,Pauillac,92.0,17,93.0,66.00
342,Saint-Emilion,91.0,17,93.0,42.00
343,Saint-Emilion,94.0,,93.0,79.00
344,Saint-Estèphe,90.0,16.5,93.0,34.00
345,Sauternes,,15.5,,25.00
346,Saint-Estèphe,,15.5,88.5,21.67
347,Haut-Médoc,89.0,16.5,92.0,79.00
348,Saint-Emilion,,,,24.50
349,Saint-Estèphe,93.0,15.5,93.0,52.00
350,Margaux,92.0,17,94.0,40.50
351,Pessac-Léognan,95.0,16.5,97.0,88.00
352,Pauillac,93.0,16.5,95.0,65.00
353,Pauillac,92.0,17,94.5,67.00
354,Haut-Médoc,,,90.0,24.00
355,Pessac-Léognan,93.0,16.5,92.0,45.25
356,Pomerol,91.0,,93.5,30.00
357,Haut-Médoc,,15.5,90.0,19.75
358,Saint-Julien,90.0,16,94.0,73.00
359,Margaux,,,92.0,24.00
360,Saint-Julien,94.0,17.5,96.0,139.00
361,Pessac-Léognan,95.0,16,91.0,42.00
362,Pauillac,,17,99.0,150.00
363,Pessac-Léognan,90.0,16,92.0,25.00
364,Margaux,88.0,17,95.0,79.00
365,Médoc,90.0,16,93.0,29.00
366,Saint-Emilion,96.0,18,98.0,498.00
367,Haut-Médoc,89.0,15.5,92.0,27.00
368,Saint-Estèphe,,15.5,92.0,22.00
369,Saint-Emilion,90.0,16.5,94.0,42.00
370,Margaux,92.0,16,95.5,70.00
371,Pomerol,91.0,,92.0,33.00
372,Saint-Emilion,91.0,16,94.0,38.50
373,Pomerol,87.0,16.5,91.0,51.00
374,Margaux,,,92.0,23.00
375,Haut-Médoc,89.0,16,90.0,14.00
376,Moulis,84.0,16,94.0,39.00
377,Pauillac,94.0,17.5,97.0,115.00
378,Saint-Emilion,,16.5,95.0,32.50
379,Sauternes,93.0,17,94.0,61.33
380,Saint-Julien,95.0,17.5,99.0,138.00
381,Pessac-Léognan,92.0,,95.0,27.50
382,Pessac-Léognan,93.0,16.5,95.0,39.83
383,Médoc,87.0,16,91.0,31.00
384,Moulis,88.0,16,92.0,28.50
385,Castillon Côtes de Bordeaux,91.0,15,93.0,30.00
386,Saint-Estèphe,90.0,16.5,92.0,24.00
387,Pessac-Léognan,,15.5,89.5,22.00
388,Haut-Médoc,92.0,16,94.0,32.00
389,Saint-Emilion,90.0,15.5,93.0,54.00
390,Castillon Côtes de Bordeaux,91.0,16,94.0,29.00
391,Saint-Estèphe,91.0,17.5,94.0,46.00
392,Saint-Julien,93.0,15.5,92.5,61.00
393,Pessac-Léognan,93.0,16.5,94.0,41.00
394,Castillon Côtes de Bordeaux,92.0,16,94.0,30.00
395,Pomerol,92.0,16.5,95.0,52.00
396,Saint-Julien,93.0,17,96.0,75.00
397,Saint-Julien,95.0,16.5,93.0,64.00
398,Sauternes,90.0,,,25.50
399,Saint-Emilion,93.0,16.5,94.0,76.00
400,Pauillac,94.0,18,98.0,165.00
401,Saint-Julien,93.0,16.5,96.0,46.00
402,Médoc,89.0,16.5,92.5,25.50
403,Saint-Emilion,94.0,16,94.0,85.00
404,Moulis,91.0,16.5,94.0,38.83
405,Saint-Estèphe,90.0,16,92.0,23.00
406,Pauillac,92.0,17.5,94.0,58.00
407,Pomerol,92.0,15.5,96.0,59.00
408,Saint-Julien,90.0,,,26.00
409,Saint-Estèphe,93.0,17,95.0,37.00
410,Sauternes,96.0,16,99.0,470.00
411,Barsac,94.0,16,94.0,45.83
412,Pomerol,89.0,17,94.0,122.00
413,Pessac-Léognan,89.0,,90.0,21.00
414,Pessac-Léognan,96.0,17.5,98.0,90.00
415,Montagne-Saint-Emilion,,,89.5,12.00
416,Castillon Côtes de Bordeaux,91.0,16,92.5,24.50
417,Castillon Côtes de Bordeaux,92.0,16,92.0,23.00
418,Saint-Emilion,90.0,16.5,94.0,37.00
419,Sauternes,95.0,17.5,97.0,445.00
