Appellation,Robert,Robinson,Suckling,Prix
Sauternes,93,17.5,98,405.00
Pomerol,90.0,None,93.5,38.17
Pauillac,92.0,17,95.5,229.00
Margaux,93,None,93,925.00
Pessac-Léognan,96,17.5,None,394.83
Saint-Emilion,92,None,95.5,48.00
Pauillac,98,18.5,100,2 295.00
Margaux,98,17.5,97,165.00
Margaux,90,16,94,134.00
Bordeaux Blancs Secs,90.5,None,94.5,45.80
Saint-Emilion,None,16,92.5,134.17
Pauillac,94,None,97,49.92
Margaux,88,14,92,56.70
Sauternes,None,None,None,130.00
Pauillac,96,18,100,725.00
Saint-Estèphe,None,None,None,21.30
Saint-Julien,88,16,91,91.67
Saint-Julien,91,16,93,95.00
Pomerol,88.0,None,93,98.00
Pessac-Léognan,94.5,16.5,97.5,455.83
Sauternes,93.0,16.5,94,57.00
Saint-Julien,93,16,94,1 390.00
Pauillac,96,18,97,850.00
Saint-Emilion,None,None,94.5,160.00
Pessac-Léognan,96,17,92,175.00
Pessac-Léognan,91,16,96,120.00
Saint-Emilion,90,15.5,94,38.00
Saint-Emilion,None,None,92.5,34.00
Pessac-Léognan,96,17.5,97,228.83
Barsac,95,None,None,56.17
Pauillac,92,16,92.5,260.00
Castillon Côtes de Bordeaux,None,None,90,14.00
Saint-Emilion,None,16,97.5,140.80
Saint-Julien,89,16.5,None,92.00
Saint-Emilion,None,16,95,44.00
Margaux,94,16,94,171.60
Haut-Médoc,None,None,92,19.60
Pomerol,91.0,16.5,94,344.67
Pessac-Léognan,100,16.5,99,290.00
Puisseguin-Saint-Emilion,90,None,92,65.80
Saint-Emilion,89.5,16,92,49.00
Saint-Julien,97,17.5,98,110.00
Saint-Estèphe,95,17,98,253.30
Saint-Emilion,95,16.5,94,415.00
Saint-Julien,95,17.5,96,115.00
Pauillac,91.0,17.5,92,125.00
Sauternes,None,None,None,45.80
Saint-Emilion,None,None,88.5,36.00
Saint-Estèphe,88,16.5,87.5,27.17
Saint-Emilion,None,16.5,93.5,36.17
Margaux,89.5,16.5,92,45.00
Saint-Julien,91,16,90.5,64.30
Sauternes,89,17,None,49.10
Saint-Emilion,91.0,16,92.5,211.67
Saint-Emilion,90.0,15.5,92,67.50
Saint-Estèphe,None,None,92.5,25.40
Graves,90,16.5,93,27.70
Margaux,93,17,97,910.00
Sauternes,None,None,None,190.00
Saint-Julien,94,None,94,305.00
Saint-Julien,88,16.5,92.5,139.00
Pauillac,93,17.5,98,280.00
Saint-Julien,95,17,94,3 700.00
Pauillac,90.0,15.5,92.5,43.60
Pauillac,None,None,None,365.00
Saint-Estèphe,None,None,None,80.00
Sauternes,None,17.5,None,261.00
Saint-Julien,92,16.5,91.5,129.00
Pessac-Léognan,100,19,100,1 230.83
Saint-Emilion,94,16,95,60.00
Moulis,90,17,92,86.10
Médoc,80.5,None,None,165.00
Haut-Médoc,85.0,None,92,12.83
Saint-Emilion,93,16,95,105.00
Pomerol,96.0,16.5,96,377.00
Saint-Julien,89,16.5,93,133.00
Pauillac,94,16,95,101.00
Saint-Emilion,90,None,92,37.50
Médoc,86,16.5,91,19.80
Margaux,96,16,98,985.00
Sauternes,98.0,None,None,385.00
Saint-Julien,92,16,93,69.00
Saint-Emilion,96,15.5,96,209.00
Saint-Emilion,89.0,15,92.5,24.42
Sauternes,91,18,92,52.30
Moulis,82,16.5,94,112.67
Margaux,95,16.5,98,80.00
Margaux,92,16.5,None,191.00
Haut-Médoc,90.5,None,92,31.60
Saint-Emilion,None,15.5,92,41.00
Sauternes,90,17.5,None,47.60
Sauternes,93.0,17,93,187.00
Moulis,88.5,16.5,None,198.00
Haut-Médoc,87,16.5,92,35.40
Pauillac,91,16,93.5,245.00
Pomerol,94,16.5,98,138.00
Sauternes,92,16.5,None,35.50
Saint-Emilion,94,16.5,97,159.80
Saint-Emilion,None,None,90.5,117.50
Haut-Médoc,None,15.5,92.5,15.75
Margaux,92,16.5,94,65.42
Pauillac,91,17,96,1 567.00
Saint-Emilion,95,15,95,126.83
Pomerol,94,17,96.5,265.00
Margaux,89,16-,None,97.00
Saint-Julien,96,16.5,96,880.00
Saint-Emilion,89,15.5,None,44.70
Pauillac,92,18,94,850.00
Saint-Emilion,None,None,92.5,28.00
Saint-Emilion,None,16,94.5,55.20
Bordeaux Blancs Secs,None,None,None,10.20
Margaux,90.0,None,93.5,29.90
Saint-Julien,89,16.5,None,310.00
Canon-Fronsac,None,None,93,20.70
Sauternes,None,17,93,35.00
Saint-Emilion,93,16.5,None,185.00
Médoc,None,None,92.5,15.60
Pauillac,91,17.5,95,999.00
Pessac-Léognan,91,None,93,25.00
Margaux,98,15,100,720.00
Sauternes,93.0,15.5,92,49.00
Saint-Emilion,None,None,97.5,39.40
Saint-Emilion,None,None,92.5,48.00
Pomerol,90,15.5,94,118.30
Haut-Médoc,None,15.5,92.5,32.70
Pauillac,91,16,94,48.00
Saint-Emilion,95.0,16.5,98,560.00
Médoc,89.0,15.5,92.5,101.67
Pomerol,84,16-,None,34.00
Barsac,None,16.5,None,59.00
Saint-Emilion,91,16.5,None,270.00
Pauillac,93,14.5,93.5,420.00
Margaux,90,17.5,93,465.00
Haut-Médoc,86,15,None,16.40
Saint-Emilion,100,18,94,1 220.00
Pauillac,92.5,17,96.5,2 015.83
Haut-Médoc,92,16.5,90,51.00
Pauillac,87,13.5,91,38.20
Sauternes,None,None,None,84.00
Haut-Médoc,None,None,None,133.00
Pauillac,94,17,None,1 090.00
Pauillac,89,16.5,None,195.00
Margaux,91.0,17,95,665.00
Pessac-Léognan,None,16,91.5,130.00
Barsac,91,16.5,93,63.00
Pomerol,97,19,97,903.33
Bordeaux Blancs Secs,93.5,17,None,350.00
Saint-Emilion,94.0,17,95.5,106.40
Pomerol,None,None,None,324.00
Pomerol,92,16.5,None,90.00
Castillon Côtes de Bordeaux,None,16,92.5,21.83
Margaux,86,16.5,93.5,30.67
Pauillac,90.0,16,93.5,840.00
Margaux,97.0,17.5,96,115.00
Saint-Emilion,92,17.5,None,7 950.00
Margaux,90,17.5,89.5,1 275.00
Margaux,None,None,None,33.17
Haut-Médoc,89,None,92,22.70
Montagne-Saint-Emilion,None,None,90.5,95.83
Fronsac,90,None,89.5,15.30
Pauillac,91,15.5,94.5,1 390.00
Pomerol,None,None,94,35.92
Bordeaux Blancs Secs,90.0,None,None,198.33
Margaux,91,17,92,160.60
Saint-Estèphe,90,15,90.5,86.67
Pauillac,92,16,95,185.00
Pauillac,89,18,None,470.00
Sauternes,95,19,None,390.00
Margaux,96,17.5,94,660.00
Saint-Emilion,None,16.5,91.5,144.17
Sauternes,None,17.5,None,238.33
Pomerol,None,None,94.5,218.00
Bordeaux Blancs Secs,None,16,None,60.00
Pessac-Léognan,93,None,94,31.00
Sauternes,94.0,16.5,96,140.00
Margaux,92,15.5,94,114.33
Haut-Médoc,87.0,15.5,None,119.17
Pomerol,94,17,100,435.00
Saint-Emilion,95,16.5,96.5,202.00
Barsac,None,17.5,93.5,44.00
Sauternes,93,17,95,71.83
Saint-Julien,92,16.5,95,1 720.00
Saint-Emilion,96,17,99,231.00
Barsac,95,17.5,96,176.80
Saint-Emilion,None,18,97,182.33
Margaux,87,16,None,125.00
Pessac-Léognan,100,18,100,1 265.00
Pomerol,92.0,None,97,340.00
Saint-Emilion,97,18.5,99,4 550.00
Sauternes,None,17,91.5,54.00
Pessac-Léognan,91,None,93,26.00
Saint-Estèphe,91,16,93,125.00
Saint-Emilion,None,16,92.5,53.42
Haut-Médoc,90,15.5,94,64.00
Saint-Emilion,91.0,16,94.5,39.20
Saint-Estèphe,83,17,92,95.00
Pessac-Léognan,97,17,98,197.00
Pauillac,95,18,None,1 190.00
Pessac-Léognan,88,17,91,220.00
Pauillac,None,None,None,29.00
Saint-Estèphe,92.0,15,91,45.30
Haut-Médoc,None,15.5,91.5,84.17
Pauillac,91,17,92.5,350.00
Saint-Emilion,None,15.5,93.5,48.17
Pauillac,None,None,None,40.83
Saint-Emilion,93,15,None,140.00
Margaux,92,16.5,96,1 475.00
Pessac-Léognan,94,16,92.5,260.00
Fronsac,90.0,16.5,93,133.00
Haut-Médoc,None,16,90.5,72.08
Pauillac,91,15,93,160.00
Saint-Emilion,90.0,15.5,91,36.50
Saint-Emilion,89,None,None,125.00
Haut-Médoc,None,15,90.5,19.80
Saint-Emilion,87,16,90.5,41.40
Haut-Médoc,None,16,91.5,23.00
Sauternes,None,None,88.5,24.00
Castillon Côtes de Bordeaux,87.5,None,90.5,52.50
Saint-Emilion,95,17.5,94,1 350.00
Saint-Emilion,None,16,94.5,41.00
Saint-Emilion,93.0,16.5,97.5,157.17
Pauillac,91,16,95,64.30
Moulis,88,16,91,37.30
Castillon Côtes de Bordeaux,None,None,93,89.00
Pomerol,91.0,15.5,95,42.50
Saint-Estèphe,94,17.5,93,690.00
Lalande de Pomerol,91.0,16,93,80.00
Haut-Médoc,None,16.5,92,22.00
Barsac,None,17,None,156.00
Haut-Médoc,None,None,None,216.00
Pomerol,92,16.5,91.5,79.50
Saint-Emilion,91,None,93,36.00
Pessac-Léognan,92,16,None,815.00
Pessac-Léognan,91.0,16,92.5,26.20
Pauillac,96,17.5,96,850.00
Saint-Julien,94,15.5,None,245.00
Pessac-Léognan,98.0,16.5,98.5,128.00
Saint-Julien,None,15,None,63.00
Saint-Emilion,92.0,14.5,100,196.00
Pessac-Léognan,95,17.5,97,3 500.00
Pauillac,97,17.5,100,965.00
Margaux,88,14.5,91,68.70
Saint-Emilion,None,None,98.5,91.00
Haut-Médoc,87,16,92,25.00
Margaux,94,16.5,95,730.00
Bordeaux Blancs Secs,90.0,None,94,72.00
Margaux,93.0,15,94,72.00
Pauillac,87,17,92,1 660.00
Listrac,None,None,None,395.00
Saint-Estèphe,100,18,98,4 700.00
Saint-Julien,88.0,None,93.5,167.60
Pomerol,None,None,None,150.00
Bordeaux Blancs Secs,93,17.5,97,428.33
Pauillac,100,18,98,1 250.00
Saint-Emilion,91,16.5,95,295.00
Saint-Julien,95,16,94,1 790.00
Sauternes,None,None,None,294.17
Saint-Julien,None,16,None,57.00
Lalande de Pomerol,None,None,91,22.00
Margaux,89,16.5,90,99.00
Saint-Emilion,100,18.5,100,640.00
Pomerol,None,16.5,94,62.30
Saint-Emilion,94.0,16.5,94.5,38.20
Pomerol,90,15.5,94,133.00
Saint-Emilion,None,None,94,230.00
Barsac,90,16.5,94,58.90
Médoc,None,None,None,185.00
Pomerol,97,16.5,98,195.00
Saint-Emilion,95,None,93.5,335.00
Fronsac,90.0,16.5,95,28.00
Saint-Emilion,97,18,98,970.00
Saint-Emilion,92,16.5,95,635.00
Saint-Julien,91,None,None,395.33
Saint-Estèphe,86,None,None,275.00
Pomerol,None,None,92.5,185.00
Listrac,None,16,90.5,76.67
Sauternes,None,17.5,90.5,59.20
Saint-Julien,89,None,None,299.00
Pomerol,87,None,None,69.00
Pessac-Léognan,96,17.5,None,623.30
Margaux,100,18,None,2 990.00
Pauillac,93.0,16.5,94.5,89.70
Saint-Emilion,91,None,91,41.00
Saint-Emilion,None,16,96.5,540.00
Saint-Emilion,None,16.5,95,99.67
Castillon Côtes de Bordeaux,87.0,15.5,91.5,75.42
Pauillac,93,17,93,220.00
Pessac-Léognan,None,16.5,None,34.30
Margaux,94.0,17,95.5,200.33
Margaux,80,None,None,1 250.00
Sauternes,91,16,None,64.30
Saint-Emilion,95,17,None,950.00
Pessac-Léognan,90,15,89.5,56.00
Saint-Julien,94,16.5,97,74.83
Pauillac,95,17,95,260.00
Pauillac,98,18,96,7 610.00
Saint-Emilion,90.0,15.5,93,38.20
Saint-Estèphe,93,16.5,93,270.00
Pauillac,94,15.5,97,133.10
Margaux,91.0,16,93.5,33.75
Pessac-Léognan,98,18.5,97,5 800.00
Pessac-Léognan,85,14,None,109.00
Pauillac,95,17.5,95,8 990.00
Saint-Emilion,90.0,15.5,91.5,152.50
Pauillac,88.0,16.5,93.5,41.17
Saint-Julien,None,None,92.5,110.83
Pauillac,90.0,16.5,92,118.40
Saint-Emilion,91,None,None,1 720.00
Saint-Estèphe,92,18,95,71.40
Haut-Médoc,90,16,90.5,42.50
Pomerol,None,16,92,42.70
Pomerol,None,None,None,180.00
Pauillac,94,16.5,95,223.70
Bordeaux Blancs Secs,95,16.5,98,445.00
Pauillac,88.0,None,92.5,201.67
Lalande de Pomerol,91.0,None,93,81.00
Fronsac,92.0,None,92.5,18.70
Margaux,88,15.5,None,360.00
Pauillac,91,16.5,94,425.00
Saint-Emilion,None,None,None,33.80
Saint-Emilion,92,17,99,780.00
Saint-Emilion,83,16.5,None,1 195.00
Pauillac,96,17.5,None,465.00
Pessac-Léognan,93,16.5,95,219.40
Pomerol,None,None,None,349.17
Pauillac,89,15.5,None,162.14
Saint-Emilion,87,18.5,None,1 710.00
Bordeaux,None,None,None,60.00
Saint-Julien,94,16,93,97.00
Margaux,None,15.5,92.5,19.08
Sauternes,94,None,None,41.40
Pauillac,84,16,None,250.00
Saint-Emilion,91.0,None,92.5,25.17
Saint-Emilion,98,17.5,None,730.00
Pomerol,97,18,98,450.00
Pomerol,94,15,96,4 100.00
Pauillac,95,18,None,2 750.00
Barsac,93,17,None,44.70
Saint-Emilion,88,15,None,124.00
Saint-Emilion,90,18,None,2 495.00
Saint-Emilion,95,17.5,99,1 045.00
Saint-Julien,98,None,None,4 200.00
Margaux,95,17,97,765.00
Pauillac,91,16.5,None,155.71
Saint-Emilion,95,18.5,None,1 760.00
Saint-Emilion,98,16.5,None,467.00
Pomerol,88,16.5,94,124.70
Saint-Estèphe,93,16.5,95,106.00
Sauternes,None,17,None,33.58
Saint-Julien,91.0,16,95.5,358.60
Pomerol,None,None,92.5,147.50
Pomerol,None,None,None,285.00
Haut-Médoc,90,16.5,None,750.00
Saint-Estèphe,None,16.5,93,42.67
Margaux,86,16.5,None,1 175.00
Haut-Médoc,None,16,94.5,54.00
Margaux,91.5,16.5,95.5,630.00
Bordeaux Blancs Secs,93,17,99,420.00
Pauillac,92,17,95,238.57
Montagne-Saint-Emilion,None,None,92,32.17
Pessac-Léognan,77,15.5,None,1 260.00
Bordeaux Blancs Secs,89.5,None,None,19.30
Pessac-Léognan,None,15.5,92,25.10
Puisseguin-Saint-Emilion,86.0,None,91,29.40
Saint-Julien,98,17,95,430.00
Saint-Julien,90,None,93,200.00
Pauillac,96,18,95.5,314.00
Saint-Julien,93,16.5,95,254.40
Pauillac,90,17,93,275.00
Haut-Médoc,82,15.5,None,35.00
Saint-Julien,95,16.5,97,445.00
Margaux,None,17.5,91.5,60.00
Saint-Julien,89,17,None,186.40
Pauillac,93,16,95,329.00
Pessac-Léognan,96,17.5,97,414.00
Pessac-Léognan,91.0,16,None,420.00
Saint-Estèphe,97,17.5,96,216.00
Saint-Emilion,95,17.5,93,1 255.00
Pessac-Léognan,90,15,None,1 250.00
Pessac-Léognan,90,16.5,98,530.00
Pomerol,95,18,95,229.30
Sauternes,None,19,None,17 280.00
Pessac-Léognan,95,15.5,None,765.00
Saint-Emilion,93,15,95,198.00
Pessac-Léognan,90,16.5,None,855.00
Margaux,94,16.5,None,420.00
Sauternes,87,17,97,50.00
Margaux,None,16,92.5,172.50
Saint-Emilion,None,15.5,94,60.00
Montagne-Saint-Emilion,None,None,88.5,83.40
Pessac-Léognan,87,16.5,None,765.00
Pessac-Léognan,91,15.5,94,165.00
Saint-Estèphe,93,None,None,625.00
Pessac-Léognan,85,15.5,None,470.00
Pessac-Léognan,94,15.5,92,760.00
Margaux,93,17,None,735.00
Saint-Emilion,86.0,None,91,26.20
Pauillac,91.5,16.5,95.5,40.90
Saint-Julien,98,17.5,None,915.00
Bordeaux,None,None,None,60.00
Saint-Estèphe,94,17,None,1 075.00
Margaux,92,16.5,92,106.40
Saint-Estèphe,87,17.5,None,494.00
Pauillac,91.5,17.5,94,4 275.00
Pauillac,89,17,93,650.00
Pessac-Léognan,90,15.5,None,3 990.00
Canon-Fronsac,89,None,None,195.00
Margaux,88,16,None,780.00
Margaux,89,16,95,53.40
Pessac-Léognan,88,15.5,None,650.00
Moulis,93.0,16,92.5,545.00
Margaux,94,17.5,None,895.00
Pessac-Léognan,90,17,92,530.00
Saint-Julien,95,16.5,93,285.00
Saint-Emilion,None,None,None,4 095.00
Saint-Emilion,92.0,16,95.5,106.00
Saint-Emilion,88.0,15.5,92.5,22.83
Pauillac,94,17.5,94,1 825.00
Pessac-Léognan,76,15,None,3 185.00
Graves,None,16.5,91.5,15.80
Margaux,93.0,16.5,95.5,43.60
Pomerol,None,None,95.5,345.00
Margaux,89,16.5,None,1 300.00
Pessac-Léognan,93,17,93,530.00
Pomerol,91.0,17,97.5,222.50
