Appellation,Robert,Robinson,Suckling,Prix
Saint-Emilion,90,16.5,94,42.00
Margaux,92,16,95.5,70.00
Pomerol,91.0,None,92,33.00
Saint-Emilion,91.0,16,94,38.50
Pomerol,87,16.5,91,51.00
Margaux,None,None,92,23.00
Haut-Médoc,89.0,16,90,14.00
Moulis,84,16,94,39.00
Pauillac,94,17.5,97,115.00
Saint-Emilion,None,16.5,95,32.50
Sauternes,93.0,17,94,61.33
Saint-Julien,95.0,17.5,99,138.00
Pessac-Léognan,92,None,95,27.50
Pessac-Léognan,93,16.5,95,39.83
Médoc,87,16,91,31.00
Moulis,88.0,16,92,28.50
Castillon Côtes de Bordeaux,91,15,93,30.00
Saint-Estèphe,90,16.5,92,24.00
Pessac-Léognan,None,15.5,89.5,22.00
Haut-Médoc,92,16,94,32.00
Saint-Emilion,90,15.5,93,54.00
Castillon Côtes de Bordeaux,91,16,94,29.00
Saint-Estèphe,91,17.5,94,46.00
Saint-Julien,93,15.5,92.5,61.00
Pessac-Léognan,93,16.5,94,41.00
Castillon Côtes de Bordeaux,92.0,16,94,30.00
Pomerol,92,16.5,95,52.00
Saint-Julien,93,17,96,75.00
Saint-Julien,95,16.5,93,64.00
Sauternes,90,None,None,25.50
Saint-Emilion,93,16.5,94,76.00
Pauillac,94,18,98,165.00
Saint-Julien,93,16.5,96,46.00
Médoc,89,16.5,92.5,25.50
Saint-Emilion,94,16,94,85.00
Moulis,91,16.5,94,38.83
Saint-Estèphe,90,16,92,23.00
Pauillac,92,17.5,94,58.00
Pomerol,92,15.5,96,59.00
Saint-Julien,90.0,None,None,26.00
Saint-Estèphe,93,17,95,37.00
Sauternes,96,16,99,470.00
Barsac,94,16,94,45.83
Pomerol,89,17,94,122.00
Pessac-Léognan,89.0,None,90,21.00
Pessac-Léognan,96,17.5,98,90.00
Montagne-Saint-Emilion,None,None,89.5,12.00
Castillon Côtes de Bordeaux,91,16,92.5,24.50
Castillon Côtes de Bordeaux,92,16,92,23.00
Saint-Emilion,90,16.5,94,37.00
Sauternes,95,17.5,97,445.00
Pauillac,89,16,95,50.00
Pomerol,None,None,90,33.00
Pomerol,91.5,None,93,63.00
Haut-Médoc,None,None,91.5,11.33
Margaux,96,17,98,79.00
Haut-Médoc,86,16,95,35.00
Saint-Julien,88,16.5,94,89.00
Pauillac,None,None,91.5,32.25
Castillon Côtes de Bordeaux,91.0,16,None,50.00
Margaux,91.0,17,94,62.42
Saint-Estèphe,None,16.5,95,49.00
Médoc,91,16.5,96,30.67
Saint-Estèphe,92,16,94,43.00
Castillon Côtes de Bordeaux,None,None,None,45.67
Pauillac,97,17,96,310.00
Sauternes,96,18.5,98,375.00
Pessac-Léognan,92,16,95,39.50
Pomerol,91,16,97,57.17
Haut-Médoc,87.0,16.5,90,19.92
Saint-Emilion,91.0,16.5,91.5,31.50
Saint-Emilion,93,17,93,125.00
Listrac,91.0,16,90.5,16.33
Haut-Médoc,91.0,None,94.5,33.00
Fronsac,90,15.5,92,24.00
Pomerol,91,17.5,93,130.00
Sauternes,94,16,95,58.00
Saint-Emilion,92,16,94,55.00
Pauillac,95,17.5,98,249.67
Saint-Estèphe,91,17.5,94,35.00
Saint-Emilion,93.0,16,95,39.00
Pessac-Léognan,92.0,15.5,93,47.00
